Record : 10
ID : 3255
Name : "Mort Kris"
Email : mort@cpts122.edu
 Units : 
Program : CS
Class Ranking : Senior


Record : 9
ID : 1222
Name : "Willis Bruce"
Email : brucewillis@cpts122.edu
 Units : 
Program : CS
Class Ranking : Sophomore


Record : 8
ID : 1122
Name : "Smith Jane"
Email : jane@cpts122.edu
 Units : 
Program : CS
Class Ranking : Sophomore


Record : 7
ID : 7759
Name : "Sam Theo"
Email : samt@cpts122.edu
 Units : 
Program : EE
Class Ranking : Sophomore


Record : 6
ID : 5530
Name : "Payton Ella"
Email : epayton@cpts122.edu
 Units : 
Program : CPTE
Class Ranking : Graduate


Record : 5
ID : 2121
Name : "James Hannah"
Email : jameshannah@cpts122.edu
 Units : 
Program : CS
Class Ranking : Freshman


Record : 4
ID : 4478
Name : "Art Bruce"
Email : bart@cpts122.edu
 Units : 
Program : CPTE
Class Ranking : Freshman


Record : 3
ID : 1121
Name : "Leinart Timothy"
Email : tim@cpts122.edu
 Units : 
Program : EE
Class Ranking : Junior


Record : 2
ID : 8147
Name : "Beck Sara"
Email : sara@cpts122.edu
 Units : 
Program : EE
Class Ranking : Junior


Record : 1
ID : 1111
Name : "Smith John"
Email : smithj@cpts122.edu
 Units : 
Program : CS
Class Ranking : Freshman


